APTITUD_PI,NOM_DEP,NOM_PROV,NOM_DIST,SUPERFICIE_HA
PROTECCION,CAJAMARCA,CONTUMAZA,CONTUMAZA,15782.3485
PECUARIO,HUANUCO,LEONCIO PRADO,JOSE CRESPO Y CASTILLO,10.94724261
OTROS / SIN CLASIFICAR,JUNIN,CHANCHAMAYO,VITOC,56.41342214
FORESTAL PRODUCTIVO,CAJAMARCA,CHOTA,CHOROPAMPA,10821.39584
PROTECCION,CAJAMARCA,JAEN,CHONTALI,24005.73752
AGRICOLA,JUNIN,HUANCAYO,QUICHUAY,467.0651269
PROTECCION,JUNIN,YAULI,CHACAPALPA,13474.10798
PROTECCION,CAJAMARCA,CELENDIN,CHUMUCH,18716.25606
AGRICOLA,ANCASH,SANTA,MORO,1536.239832
FORESTAL PRODUCTIVO,HUANUCO,HUACAYBAMBA,COCHABAMBA,8228.924498
AGRICOLA,HUANUCO,LEONCIO PRADO,JOSE CRESPO Y CASTILLO,25313.41128
PROTECCION,ANCASH,YUNGAY,MANCOS,4636.774808
AGRICOLA,SAN MARTIN,MOYOBAMBA,SORITOR,455.8798798
PECUARIO,CAJAMARCA,CAJAMARCA,NAMORA,2410.092936
FORESTAL PRODUCTIVO,ANCASH,HUARI,HUANTAR,5003.881827
PROTECCION,ANCASH,HUAYLAS,YURACMARCA,54722.59546
FORESTAL PRODUCTIVO,CAJAMARCA,CELENDIN,SOROCHUCO,3496.057414
PROTECCION,ANCASH,ANTONIO RAYMONDI,CHINGAS,1673.283194
PROTECCION,HUANUCO,HUANUCO,QUISQUI (KICHKI),4089.848184
PROTECCION,CAJAMARCA,SAN MARCOS,CHANCAY,4583.789608
PECUARIO,HUANUCO,AMBO,CONCHAMARCA,11.36330339
PROTECCION,HUANUCO,HUANUCO,SAN FRANCISCO DE CAYRAN,7584.444832
AGRICOLA,CAJAMARCA,CUTERVO,SAN ANDRES DE CUTERVO,30.707874
AGRICOLA,CAJAMARCA,CELENDIN,HUASMIN,852.8420305
FORESTAL PRODUCTIVO,ANCASH,HUARI,CHAVIN DE HUANTAR,6760.781056
PECUARIO,CAJAMARCA,CAJAMARCA,SAN JUAN,3422.68529
PROTECCION,ANCASH,HUARI,PAUCAS,10778.20618
PECUARIO,CAJAMARCA,SAN MIGUEL,CATILLUC,14149.06515
FORESTAL PRODUCTIVO,JUNIN,SATIPO,RIO TAMBO,122093.7707
FORESTAL PRODUCTIVO,CAJAMARCA,CAJAMARCA,MATARA,931.1389383
PROTECCION,ANCASH,SANTA,NEPEÑA,34095.47454
AGRICOLA,CAJAMARCA,JAEN,SAN FELIPE,842.5554585
PROTECCION,SAN MARTIN,MOYOBAMBA,JEPELACIO,221.6809014
PROTECCION,ANCASH,HUAYLAS,SANTA CRUZ,35936.53842
AGRICOLA,JUNIN,JAUJA,YAULI,1006.346618
PROTECCION,JUNIN,JAUJA,YAULI,5305.962942
OTROS / SIN CLASIFICAR,HUANUCO,MARAÑON,CHOLON,459.4025194
AGRICOLA,JUNIN,CHUPACA,SAN JUAN DE ISCOS,744.5693605
PECUARIO,HUANUCO,HUANUCO,QUISQUI (KICHKI),7016.042172
OTROS / SIN CLASIFICAR,HUANUCO,PACHITEA,MOLINO,36.84388553
AGRICOLA,ANCASH,YUNGAY,SHUPLUY,1075.122097
PROTECCION,HUANUCO,HUANUCO,SANTA MARIA DEL VALLE,16199.1618
PECUARIO,CAJAMARCA,SANTA CRUZ,SAUCEPAMPA,72.89004911
AGRICOLA,CAJAMARCA,HUALGAYOC,HUALGAYOC,147.0934893
PROTECCION,JUNIN,JAUJA,MASMA,337.8695321
OTROS / SIN CLASIFICAR,HUANUCO,PUERTO INCA,TOURNAVISTA,2212.309548
FORESTAL PRODUCTIVO,ANCASH,RECUAY,PAMPAS CHICO,2509.117694
AGRICOLA,CAJAMARCA,SANTA CRUZ,PULAN,9.280970613
FORESTAL PRODUCTIVO,ANCASH,PALLASCA,CONCHUCOS,6055.962102
AGRICOLA,CAJAMARCA,CHOTA,CHIGUIRIP,63.89771958
AGRICOLA,CAJAMARCA,CONTUMAZA,SANTA CRUZ DE TOLED,2.655262219
FORESTAL PRODUCTIVO,SAN MARTIN,SAN MARTIN,SAN ANTONIO,4004.001142
AGRICOLA,JUNIN,CHUPACA,HUACHAC,1942.079017
AGRICOLA,JUNIN,HUANCAYO,EL TAMBO,3969.979051
AGRICOLA,SAN MARTIN,SAN MARTIN,CACATACHI,342.6390788
AGRICOLA,SAN MARTIN,EL DORADO,AGUA BLANCA,38.06655253
PROTECCION,CAJAMARCA,CUTERVO,CUJILLO,5277.852939
PROTECCION,JUNIN,CONCEPCION,SAN JOSE DE QUERO,618.7838074
FORESTAL PRODUCTIVO,SAN MARTIN,EL DORADO,AGUA BLANCA,15171.57934
AGRICOLA,JUNIN,CONCEPCION,SANTA ROSA DE OCOPA,722.3223375
FORESTAL PRODUCTIVO,CAJAMARCA,CHOTA,PION,3060.296646
PECUARIO,JUNIN,YAULI,SUITUCANCHA,10830.8359
PROTECCION,HUANUCO,HUACAYBAMBA,CANCHABAMBA,1416.64741
PECUARIO,JUNIN,CONCEPCION,ORCOTUNA,869.8871419
PROTECCION,ANCASH,HUARMEY,HUAYAN,10404.45097
PROTECCION,HUANUCO,PUERTO INCA,HONORIA,10445.53101
FORESTAL PRODUCTIVO,ANCASH,BOLOGNESI,ABELARDO PARDO LEZAMETA,243.5736958
PROTECCION,JUNIN,JAUJA,APATA,30902.05362
FORESTAL PRODUCTIVO,HUANUCO,LEONCIO PRADO,LUYANDO,1673.532395
FORESTAL PRODUCTIVO,SAN MARTIN,HUALLAGA,TINGO DE SAPOSOA,4198.867647
OTROS / SIN CLASIFICAR,HUANUCO,AMBO,AMBO,22.73489467
PROTECCION,SAN MARTIN,TOCACHE,SANTA LUCIA,142.8202026
AGRICOLA,JUNIN,HUANCAYO,COLCA,3404.80504
PROTECCION,SAN MARTIN,LAMAS,TABALOSOS,65.59183149
FORESTAL PRODUCTIVO,HUANUCO,HUAMALIES,JIRCAN,9.2231E-06
PECUARIO,JUNIN,JAUJA,POMACANCHA,19520.53535
PROTECCION,ANCASH,POMABAMBA,PAROBAMBA,13149.47275
FORESTAL PRODUCTIVO,ANCASH,POMABAMBA,PAROBAMBA,7794.916261
FORESTAL PRODUCTIVO,SAN MARTIN,LAMAS,RUMISAPA,3320.203029
FORESTAL PRODUCTIVO,SAN MARTIN,RIOJA,AWAJUN,32251.50269
AGRICOLA,SAN MARTIN,MOYOBAMBA,YANTALO,231.1617701
FORESTAL PRODUCTIVO,HUANUCO,HUAMALIES,ARANCAY,1.08938E-05
FORESTAL PRODUCTIVO,CAJAMARCA,CHOTA,TACABAMBA,11057.09148
FORESTAL PRODUCTIVO,CAJAMARCA,HUALGAYOC,HUALGAYOC,5096.600568
PECUARIO,JUNIN,JAUJA,PACA,1265.664719
PROTECCION,HUANUCO,DOS DE MAYO,MARIAS,91.35019647
AGRICOLA,CAJAMARCA,CUTERVO,SANTO TOMAS,1070.680703
PECUARIO,HUANUCO,MARAÑON,CHOLON,7282.689803
AGRICOLA,SAN MARTIN,RIOJA,NUEVA CAJAMARCA,796.8369862
AGRICOLA,SAN MARTIN,BELLAVISTA,ALTO BIAVO,427.9683991
AGRICOLA,SAN MARTIN,HUALLAGA,EL ESLABON,120.0036318
PROTECCION,MADRE DE DIOS,MANU,MADRE DE DIOS,400655.6116
OTROS / SIN CLASIFICAR,HUANUCO,HUANUCO,CHURUBAMBA,111.4810877
AGRICOLA,CAJAMARCA,CAJAMARCA,LOS BAÑOS DEL INCA,4336.46555
PROTECCION,SAN MARTIN,BELLAVISTA,ALTO BIAVO,377047.5957
PECUARIO,JUNIN,JAUJA,JANJAILLO,898.1231241
PROTECCION,ANCASH,HUARI,CAJAY,12102.38843
PROTECCION,HUANUCO,LAURICOCHA,RONDOS,5.41137E-06
AGRICOLA,JUNIN,JAUJA,HUERTAS,1204.969783
AGRICOLA,CAJAMARCA,CUTERVO,CALLAYUC,513.6095469
PECUARIO,JUNIN,TARMA,ACOBAMBA,4233.688093
AGRICOLA,SAN MARTIN,LAMAS,PINTO RECODO,76.37405987
PECUARIO,JUNIN,JAUJA,ACOLLA,7739.626783
