NIVEL_ACCESO,GRADO_MERCADO,SUPERFICIE_HA,DEPARTAMEN,PROVINCIA,DISTRITO
ALTA,OPTIMA,0.04,HUANUCO,AMBO,AMBO
ALTA,OPTIMA,1.76,HUANUCO,AMBO,AMBO
ALTA,OPTIMA,11.06,HUANUCO,AMBO,AMBO
ALTA,OPTIMA,6.95,HUANUCO,AMBO,AMBO
ALTA,OPTIMA,154.96,HUANUCO,AMBO,AMBO
ALTA,OPTIMA,615.73,HUANUCO,AMBO,AMBO
ALTA,ALTO POTENCIAL,0.00,HUANUCO,AMBO,AMBO
ALTA,ALTO POTENCIAL,5434.26,HUANUCO,AMBO,AMBO
ALTA,ALTO POTENCIAL,0.00,HUANUCO,AMBO,AMBO
ALTA,ALTO POTENCIAL,0.00,HUANUCO,AMBO,AMBO
MEDIA,RIESGO / BAJA,0.62,HUANUCO,AMBO,CAYNA
ALTA,ALTO POTENCIAL,322.53,HUANUCO,AMBO,CAYNA
ALTA,ALTO POTENCIAL,0.00,HUANUCO,AMBO,CAYNA
MEDIA,RIESGO / BAJA,0.24,HUANUCO,AMBO,COLPAS
ALTA,ALTO POTENCIAL,62.63,HUANUCO,AMBO,COLPAS
ALTA,OPTIMA,16.01,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,1.12,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,2.93,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,277.34,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,5.00,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,0.76,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,10.94,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,1.96,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,700.09,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,5.58,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,1.61,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,4.24,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,4.37,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,57.76,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,10.81,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,0.28,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,0.80,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,1.72,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,0.46,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,1.12,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,0.58,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,0.20,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,0.70,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,8.82,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,1.41,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,3.22,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,3.54,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,12.20,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,0.42,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,0.93,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,21.62,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,10.06,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,22.19,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,3.09,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,1.57,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,1.06,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,0.14,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,0.41,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,6.63,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,0.69,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,6.76,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,289.00,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,4.31,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,2.33,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,0.80,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,0.87,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,0.58,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,4.41,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,0.47,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,10.34,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,0.42,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,6.80,HUANUCO,AMBO,CONCHAMARCA
