PRIORIDAD_TITULACION,DEPARTAMENTO,PROVINCIA,DISTRITO,SUPERFICIE_HA,NRO_PREDIOS_ESTIMADO,FUENTE_BASE
MUY ALTA (Corredor Económico),HUANUCO,HUANUCO,HUANUCO,2665.081165,533.016233,MNSA / SICAR
MUY ALTA (Corredor Económico),HUANUCO,HUANUCO,AMARILIS,4332.872562,866.5745124,MNSA / SICAR
MUY ALTA (Corredor Económico),HUANUCO,HUANUCO,YARUMAYO,2154.534393,430.9068786,MNSA / SICAR
MUY ALTA (Corredor Económico),HUANUCO,HUANUCO,PILLCO MARCA,596.750024,119.3500048,MNSA / SICAR
ALTA (Zona de Expansión),HUANUCO,HUANUCO,CHURUBAMBA,418.5936202,83.71872404,MNSA / SICAR
MUY ALTA (Corredor Económico),HUANUCO,HUANUCO,CHURUBAMBA,4986.729696,997.3459393,MNSA / SICAR
MUY ALTA (Corredor Económico),HUANUCO,HUANUCO,QUISQUI (KICHKI),5616.890096,1123.378019,MNSA / SICAR
MUY ALTA (Corredor Económico),HUANUCO,HUANUCO,SAN FRANCISCO DE CAYRAN,552.1425221,110.4285044,MNSA / SICAR
MUY ALTA (Corredor Económico),HUANUCO,HUANUCO,SAN PEDRO DE CHAULAN,179.1562011,35.83124022,MNSA / SICAR
MUY ALTA (Corredor Económico),HUANUCO,HUANUCO,YACUS,1989.539726,397.9079452,MNSA / SICAR
ALTA (Zona de Expansión),HUANUCO,DOS DE MAYO,CHUQUIS,2.983060607,0.596612121,MNSA / SICAR
MUY ALTA (Corredor Económico),HUANUCO,DOS DE MAYO,CHUQUIS,1643.417743,328.6835485,MNSA / SICAR
ALTA (Zona de Expansión),HUANUCO,DOS DE MAYO,PACHAS,46.74349992,9.348699984,MNSA / SICAR
MUY ALTA (Corredor Económico),HUANUCO,DOS DE MAYO,PACHAS,324.306365,64.861273,MNSA / SICAR
MUY ALTA (Corredor Económico),HUANUCO,DOS DE MAYO,RIPAN,800.632763,160.1265526,MNSA / SICAR
ALTA (Zona de Expansión),HUANUCO,PACHITEA,PANAO,3718.376971,743.6753942,MNSA / SICAR
MUY ALTA (Corredor Económico),HUANUCO,PACHITEA,PANAO,23383.61817,4676.723634,MNSA / SICAR
MUY ALTA (Corredor Económico),HUANUCO,YAROWILCA,CAHUAC,38.48398209,7.696796419,MNSA / SICAR
MUY ALTA (Corredor Económico),HUANUCO,YAROWILCA,CHACABAMBA,37.23984412,7.447968824,MNSA / SICAR
MUY ALTA (Corredor Económico),HUANUCO,YAROWILCA,APARICIO POMARES,2404.156451,480.8312902,MNSA / SICAR
MUY ALTA (Corredor Económico),HUANUCO,YAROWILCA,JACAS CHICO,925.9395141,185.1879028,MNSA / SICAR
MUY ALTA (Corredor Económico),HUANUCO,YAROWILCA,PAMPAMARCA,19.42600004,3.885200008,MNSA / SICAR
MUY ALTA (Corredor Económico),HUANUCO,YAROWILCA,CHORAS,2412.587278,482.5174556,MNSA / SICAR
MUY ALTA (Corredor Económico),HUANUCO,LAURICOCHA,QUEROPALCA,7.424397739,1.484879548,MNSA / SICAR
MUY ALTA (Corredor Económico),HUANUCO,LAURICOCHA,SAN FRANCISCO DE ASIS,79.94038509,15.98807702,MNSA / SICAR
MUY ALTA (Corredor Económico),HUANUCO,LAURICOCHA,SAN MIGUEL DE CAURI,55.83899812,11.16779962,MNSA / SICAR
ALTA (Zona de Expansión),HUANUCO,HUANUCO,CHINCHAO,120.0366707,24.00733413,MNSA / SICAR
MUY ALTA (Corredor Económico),HUANUCO,HUANUCO,CHINCHAO,10626.04613,2125.209226,MNSA / SICAR
MUY ALTA (Corredor Económico),HUANUCO,DOS DE MAYO,YANAS,3.170329323,0.634065865,MNSA / SICAR
MUY ALTA (Corredor Económico),HUANUCO,HUANUCO,MARGOS,1559.293912,311.8587823,MNSA / SICAR
ALTA (Zona de Expansión),HUANUCO,PACHITEA,CHAGLLA,6457.456229,1291.491246,MNSA / SICAR
MUY ALTA (Corredor Económico),HUANUCO,PACHITEA,CHAGLLA,4289.212509,857.8425019,MNSA / SICAR
MUY ALTA (Corredor Económico),HUANUCO,HUANUCO,SANTA MARIA DEL VALLE,3622.72953,724.545906,MNSA / SICAR
MUY ALTA (Corredor Económico),HUANUCO,DOS DE MAYO,QUIVILLA,304.7011518,60.94023037,MNSA / SICAR
ALTA (Zona de Expansión),HUANUCO,HUAMALIES,SINGA,6.405021027,1.281004205,MNSA / SICAR
MUY ALTA (Corredor Económico),HUANUCO,HUAMALIES,SINGA,3176.118534,635.2237067,MNSA / SICAR
MUY ALTA (Corredor Económico),HUANUCO,LEONCIO PRADO,RUPA-RUPA,4071.504851,814.3009702,MNSA / SICAR
ALTA (Zona de Expansión),HUANUCO,DOS DE MAYO,MARIAS,26.05291811,5.210583622,MNSA / SICAR
MUY ALTA (Corredor Económico),HUANUCO,DOS DE MAYO,MARIAS,1439.541895,287.908379,MNSA / SICAR
ALTA (Zona de Expansión),HUANUCO,HUAMALIES,LLATA,1.558896212,0.311779242,MNSA / SICAR
MUY ALTA (Corredor Económico),HUANUCO,HUAMALIES,LLATA,4928.01587,985.603174,MNSA / SICAR
MUY ALTA (Corredor Económico),HUANUCO,HUAMALIES,CHAVIN DE PARIARCA,377.8352671,75.56705342,MNSA / SICAR
MUY ALTA (Corredor Económico),HUANUCO,HUAMALIES,JACAS GRANDE,335.2781413,67.05562827,MNSA / SICAR
MUY ALTA (Corredor Económico),HUANUCO,HUAMALIES,JIRCAN,5.66820943,1.133641886,MNSA / SICAR
MUY ALTA (Corredor Económico),HUANUCO,LEONCIO PRADO,DANIEL ALOMIA ROBLES,2996.802266,599.3604531,MNSA / SICAR
MUY ALTA (Corredor Económico),HUANUCO,HUAMALIES,ARANCAY,1730.660549,346.1321097,MNSA / SICAR
MUY ALTA (Corredor Económico),HUANUCO,LEONCIO PRADO,LUYANDO,5019.470104,1003.894021,MNSA / SICAR
ALTA (Zona de Expansión),HUANUCO,MARAÑON,HUACRACHUCO,792.6157293,158.5231459,MNSA / SICAR
MUY ALTA (Corredor Económico),HUANUCO,MARAÑON,HUACRACHUCO,5369.764851,1073.95297,MNSA / SICAR
MUY ALTA (Corredor Económico),HUANUCO,MARAÑON,SAN BUENAVENTURA,1753.803054,350.7606109,MNSA / SICAR
MUY ALTA (Corredor Económico),HUANUCO,AMBO,SAN RAFAEL,6804.427685,1360.885537,MNSA / SICAR
MUY ALTA (Corredor Económico),HUANUCO,AMBO,AMBO,5434.258484,1086.851697,MNSA / SICAR
ALTA (Zona de Expansión),HUANUCO,AMBO,CAYNA,0.621572678,0.124314536,MNSA / SICAR
MUY ALTA (Corredor Económico),HUANUCO,AMBO,CAYNA,322.5258143,64.50516285,MNSA / SICAR
MUY ALTA (Corredor Económico),HUANUCO,AMBO,COLPAS,62.63322533,12.52664507,MNSA / SICAR
