N°,Entidad Ejecutora,Distrito,Provincia,Región,Convocatoria,Concurso,Año
1,CC.CC. Palaco,Chongos Alto,Huancayo,Junín,BPS-PIF-2024-0001,CONCURSO-2024-0002,2024
2,CC.CC. Raquina,Pucará,Huancayo,Junín,BPS-PIF-2024-0001,CONCURSO-2024-0001,2024
3,CC.CC. Pumpunya,Chongos Bajo,Chupaca,Junín,BPS-PIF-2024-0001,CONCURSO-2024-0002,2024
4,CC.CC. Ingenio,Ingenio,Huancayo,Junín,BPS-PIF-2024-0001,CONCURSO-2024-0002,2024
5,CC.CC. Jatun Suclla,Pucara,Huancayo,Junín,BPS-PIF-2024-0001,CONCURSO-2024-0002,2024
6,CC.CC. La Punta,Sapallanga,Huancayo,Junín,BPS-PIF-2024-0001,CONCURSO-2024-0002,2024
7,CC.CC. Muquiyauyo,Muquiyauyo,Jauja,Junín,BPS-PIF-2024-0001,CONCURSO-2024-0001,2024
8,CC.CC. Huaripampa,Huaripampa,Jauja,Junín,BPS-PIF-2024-0001,CONCURSO-2024-0002,2024
9,CC.CC. Chacapalpa,Chacapalpa,Jauja,Junín,BPS-PIF-2024-0001,CONCURSO-2024-0002,2024
10,CC.CC. Mito,Mito,Concepción,Junín,BPS-PIF-2024-0001,CONCURSO-2024-0001,2024
11,CC.CC. Huertas,Huertas,Jauja,Junín,BPS-PIF-2024-0001,CONCURSO-2024-0002,2024
12,CC.CC. Muqui,Muqui,Jauja,Junín,BPS-PIF-2024-0001,CONCURSO-2024-0002,2024
13,ASOCIACION DE AGRICULTORES Y PRODUCTORES NOMATSIGENGA DE CUBANTIA,San Martin de Pangoa,Satipo,Junín,BPS-PIF-2024-0001,CONCURSO-2024-0001,2024
14,CC.NN. Bajo Quimiriki,Pichanaqui,Chanchamayo,Junín,BPS-PIF-2024-0001,CONCURSO-2024-0002,2024
15,CC.NN. Capachari,Pichanaqui,Chanchamayo,Junín,BPS-PIF-2024-0001,CONCURSO-2024-0002,2024
16,COOPERATIVA AGRARIA FORESTAL INTERCULTURAL PERU VERDE LTDA - COOP. PERU VERDE,Pichanaqui,Pichanaqui,Junín,BPS-PIF-2024-0001,CONCURSO-2024-0002,2024
17,CC.NN. San Lorenzo de Autiki,Pichanaqui,Chanchamayo,Junín,BPS-PIF-2024-0001,CONCURSO-2024-0002,2024
18,CC.NN. Shankivironi,Perene,Chanchamayo,Junín,BPS-PIF-2024-0001,CONCURSO-2024-0002,2024
19,CC.CC. Huasta,Huasta,Bolognesi,Ancash,BPS-PIF-2024-0001,CONCURSO-2024-0001,2024
20,CC.CC. Cajacay,Cajacay,Bolognesi,Ancash,BPS-PIF-2024-0001,CONCURSO-2024-0002,2024
21,CC.CC. Ticllos,Ticllos,Bolognesi,Ancash,BPS-PIF-2024-0001,CONCURSO-2024-0002,2024
22,CC.CC. Yanas,Huacchis,Huari,Ancash,BPS-PIF-2024-0001,CONCURSO-2024-0002,2024
23,CC.CC. Cordillera Blanca,Catac,Recuay,Ancash,BPS-PIF-2024-0001,CONCURSO-2024-0002,2024
24,CC.CC. Santo Toribio de Macate,Macate,Santa,Ancash,BPS-PIF-2024-0001,CONCURSO-2024-0002,2024
25,CC.CC. JOSE MARTIN RIOS SOTERO - CONOPA,Pomabamba,Pomabamba,Ancash,BPS-PIF-2024-0001,CONCURSO-2024-0001,2024
26,CC.CC. 7 Imperios,Marcara,Carhuaz,Ancash,BPS-PIF-2024-0001,CONCURSO-2024-0001,2024
27,CC.CC. Huayllapampa,Huayllapmapa,Recuay,Ancash,BPS-PIF-2024-0001,CONCURSO-2024-0002,2024
28,CC.CC. Paucas,Paucas,Huari,Ancash,BPS-PIF-2024-0001,CONCURSO-2024-0002,2024
29,CC.CC. Paras,Mirgas,Antonio Raymindi,Ancash,BPS-PIF-2024-0001,CONCURSO-2024-0002,2024
30,CC.CC. Recuay,Recuay,Recuay,Ancash,BPS-PIF-2024-0001,CONCURSO-2024-0002,2024
31,BF Tocache SAC,Tocache,Tocache,San Martín,BPS-PIF-2024-0001,CONCURSO-2024-0002,2024
32,CC.NN. Shitariyacu,Zapatero,Lamas,San Martín,BPS-PIF-2024-0001,CONCURSO-2024-0002,2024
33,CC.NN. Shampuyacu,Awajun,Rioja,San Martín,BPS-PIF-2024-0001,CONCURSO-2024-0001,2024
34,Asociación Ikam y café Awajun Alto Mayo,Awajun,Rioja,San Martín,BPS-PIF-2024-0001,CONCURSO-2024-0002,2024
