AÑO,PRODUCCION_TOTAL,PRODUCCION_INDUSTRIAL,IMPORTACIONES,EXPORTACIONES,CONSUMO_APARENTE_TOTAL,CONSUMO_APARENTE_IND,POBLACION_PERU,PER_CAPITA_TOTAL,PER_CAPITA_IND
2020,8800000,1250000,380000,190000,8990000,1440000,32970000,0.272,0.044
2021,9450000,1350000,450000,280000,9620000,1520000,33350000,0.288,0.046
2022,9500000,1420000,480000,290000,9690000,1610000,33720000,0.287,0.048
2023,9480000,1500000,450000,210000,9720000,1740000,34090000,0.285,0.051
2024,9500000,1450000,460000,125000,9835000,1785000,34460000,0.285,0.052
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
