REGION,CONSUMO_TOTAL_M3,POBLACION_HAB,PBI_REGIONAL_MILLONES_SOL,PER_CAPITA_M3,INTENSIDAD_M3_POR_MILLON_PBI,TIPO_CONSUMO_PREDOMINANTE
CAJAMARCA,952000,1453711,19320,0.655,49.27,ENERGETICO
MADRE DE DIOS,85000,185496,3200,0.458,26.56,INDUSTRIAL
ANCASH,436000,1192409,29500,0.366,14.78,ENERGETICO
PASCO,35000,272365,6800,0.128,5.14,MIXTO
JUNIN,140000,1374642,26400,0.102,5.3,INDUSTRIAL
SAN MARTIN,80000,935508,9800,0.085,8.16,MIXTO
HUANUCO,73000,763567,8500,0.095,8.59,INDUSTRIAL
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
